gene	position	subunit	MFH	type
TraesCS1A01G025500	1028	3	2.252132844	TVGs
TraesCS1A01G060500	1446	3	2.375290679	TVGs
TraesCS1A01G090000	639	3	1.185078748	TVGs
TraesCS1A01G138200	46	3	1.760400899	TVGs
TraesCS1A01G155500	314	3	1.244191517	TVGs
TraesCS1A01G166600	233	3	1.49502629	TVGs
TraesCS1A01G168600	1045	3	3.741677251	TVGs
TraesCS1A01G188700	1197	3	1.658703373	TVGs
TraesCS1A01G214200	976	3	3.352424865	TVGs
TraesCS1A01G238800	1548	3	3.162579401	TVGs
TraesCS1A01G259700	1255	3	1.215646423	TVGs
TraesCS1A01G271800	1881	3	7.586082481	TVGs
TraesCS1A01G278200	285	3	2.474859917	TVGs
TraesCS1A01G328100	1639	3	1.057480277	TVGs
TraesCS1A01G350600	744	3	1.250287388	TVGs
TraesCS1A01G362100	1752	3	1.199894857	TVGs
TraesCS1A01G371900	426	3	1.75860415	TVGs
TraesCS1B01G001800	911	3	1.367093922	TVGs
TraesCS1B01G024800	1644	3	1.478477235	TVGs
TraesCS1B01G037100	1742	3	1.271534658	TVGs
TraesCS1B01G050200	1317	3	1.023121398	TVGs
TraesCS1B01G071800	1324	3	1.187118867	TVGs
TraesCS1B01G074100	1770	3	3.0880347	TVGs
TraesCS1B01G115900	1596	3	2.437967622	TVGs
TraesCS1B01G117800	1252	3	1.670348196	TVGs
TraesCS1B01G118400	162	3	1.009064342	TVGs
TraesCS1B01G265600	1799	3	1.051680385	TVGs
TraesCS1B01G288600	1682	3	1.480130943	TVGs
TraesCS1B01G292200	683	3	2.583431188	TVGs
TraesCS1B01G301500	760	3	1.040300826	TVGs
TraesCS1B01G469500	817	3	1.582459339	TVGs
TraesCS1D01G122400	144	3	4.001474781	TVGs
TraesCS1D01G147100	597	3	4.310128437	TVGs
TraesCS1D01G174100	210	3	2.907350772	TVGs
TraesCS1D01G177800	722	3	1.872286581	TVGs
TraesCS1D01G200700	1352	3	1.441886904	TVGs
TraesCS1D01G239100	610	3	1.083083189	TVGs
TraesCS1D01G259300	201	3	2.624149733	TVGs
TraesCS1D01G262300	641	3	1.423284635	TVGs
TraesCS1D01G273800	684	3	2.668342024	TVGs
TraesCS1D01G304700	1140	3	2.927154686	TVGs
TraesCS1D01G323300	1700	3	2.407151215	TVGs
TraesCS1D01G335800	795	3	1.286792988	TVGs
TraesCS1D01G378600	1420	3	2.433491796	TVGs
TraesCS1D01G381500	73	3	1.486023031	TVGs
TraesCS1D01G402000	1716	3	2.249239851	TVGs
TraesCS2A01G063500	106	3	1.485718838	TVGs
TraesCS2A01G065700	370	3	1.713319431	TVGs
TraesCS2A01G112600	713	3	1.676266355	TVGs
TraesCS2A01G140100	1162	3	1.000238828	TVGs
TraesCS2A01G162100	526	3	5.741760671	TVGs
TraesCS2A01G199500	580	3	1.260085632	TVGs
TraesCS2A01G207500	1789	3	1.490071292	TVGs
TraesCS2A01G248600	599	3	2.303602112	TVGs
TraesCS2A01G263800	481	3	2.814451052	TVGs
TraesCS2A01G271800	1506	3	2.730192553	TVGs
TraesCS2A01G277100	199	3	7.261200483	TVGs
TraesCS2A01G285300	1183	3	2.417150856	TVGs
TraesCS2A01G292900	1059	3	1.369933403	TVGs
TraesCS2A01G312900	301	3	13.56943997	TVGs
TraesCS2A01G326100	286	3	2.395665964	TVGs
TraesCS2A01G335400	1891	3	1.932936323	TVGs
TraesCS2A01G409800	1280	3	3.964452172	TVGs
TraesCS2A01G414300	124	3	2.30010346	TVGs
TraesCS2A01G420600	1969	3	1.652961004	TVGs
TraesCS2A01G443200	1042	3	1.79126305	TVGs
TraesCS2A01G452000	657	3	3.420495862	TVGs
TraesCS2A01G465400	108	3	1.464896569	TVGs
TraesCS2A01G511900	1933	3	1.389932659	TVGs
TraesCS2A01G525300	1701	3	1.372482193	TVGs
TraesCS2A01G531400	107	3	2.435442017	TVGs
TraesCS2A01G534600	1932	3	6.393010758	TVGs
TraesCS2A01G553500	216	3	1.315371118	TVGs
TraesCS2B01G091600	172	3	2.348713871	TVGs
TraesCS2B01G127900	715	3	1.565278688	TVGs
TraesCS2B01G167900	242	3	3.064474052	TVGs
TraesCS2B01G245900	1212	3	4.026244267	TVGs
TraesCS2B01G270000	1065	3	1.108863402	TVGs
TraesCS2B01G294000	64	3	1.146702163	TVGs
TraesCS2B01G294500	193	3	6.162613762	TVGs
TraesCS2B01G299000	600	3	1.236363869	TVGs
TraesCS2B01G344400	1291	3	1.456470176	TVGs
TraesCS2B01G351100	707	3	3.046724736	TVGs
TraesCS2B01G355900	280	3	2.211335381	TVGs
TraesCS2B01G357300	1318	3	1.160302985	TVGs
TraesCS2B01G374700	173	3	1.2290454	TVGs
TraesCS2B01G390900	1271	3	2.365687165	TVGs
TraesCS2B01G396500	119	3	3.769270571	TVGs
TraesCS2B01G396700	765	3	2.41117932	TVGs
TraesCS2B01G417000	164	3	1.820335845	TVGs
TraesCS2B01G444000	1590	3	1.873388808	TVGs
TraesCS2B01G486100	30	3	1.256376496	TVGs
TraesCS2B01G491700	444	3	1.111355553	TVGs
TraesCS2B01G546100	1454	3	1.35309174	TVGs
TraesCS2B01G603000	389	3	4.156611855	TVGs
TraesCS2B01G615500	1462	3	1.276893323	TVGs
TraesCS2D01G006200	411	3	1.641219712	TVGs
TraesCS2D01G016400	1351	3	1.818236881	TVGs
TraesCS2D01G041000	159	3	2.193997217	TVGs
TraesCS2D01G099500	1683	3	1.99226229	TVGs
TraesCS2D01G119200	1180	3	1.659118651	TVGs
TraesCS2D01G123000	1490	3	2.136348471	TVGs
TraesCS2D01G132300	609	3	2.706444693	TVGs
TraesCS2D01G169300	1472	3	1.914853838	TVGs
TraesCS2D01G181900	336	3	2.416172636	TVGs
TraesCS2D01G205900	1057	3	1.64759128	TVGs
TraesCS2D01G220500	1200	3	1.532565592	TVGs
TraesCS2D01G284700	1655	3	3.17288578	TVGs
TraesCS2D01G311400	303	3	16.16421471	TVGs
TraesCS2D01G365100	1767	3	1.138757548	TVGs
TraesCS2D01G396500	163	3	1.730696791	TVGs
TraesCS2D01G403700	206	3	3.853189689	TVGs
TraesCS2D01G408700	1501	3	1.843012227	TVGs
TraesCS2D01G411600	150	3	2.686854929	TVGs
TraesCS2D01G447900	1410	3	2.378660557	TVGs
TraesCS2D01G465800	120	3	1.663012208	TVGs
TraesCS2D01G479500	1	3	1.285347749	TVGs
TraesCS2D01G496500	1634	3	1.263642835	TVGs
TraesCS2D01G511800	1069	3	1.811504405	TVGs
TraesCS2D01G525900	1891	3	1.308077276	TVGs
TraesCS2D01G546500	1141	3	1.904212477	TVGs
TraesCS2D01G565200	1280	3	2.335962482	TVGs
TraesCS2D01G595900	668	3	4.056862318	TVGs
TraesCS3A01G026500	1381	3	1.471764018	TVGs
TraesCS3A01G041000	1640	3	1.769398362	TVGs
TraesCS3A01G046500	49	3	4.28742433	TVGs
TraesCS3A01G085400	431	3	1.336549664	TVGs
TraesCS3A01G092800	321	3	1.657465684	TVGs
TraesCS3A01G148700	366	3	1.257494679	TVGs
TraesCS3A01G155800	1080	3	2.831304542	TVGs
TraesCS3A01G231900	87	3	1.381529374	TVGs
TraesCS3A01G233100	1474	3	1.213940201	TVGs
TraesCS3A01G242100	1246	3	1.08992754	TVGs
TraesCS3A01G250700	1279	3	1.033398857	TVGs
TraesCS3A01G280500	80	3	1.15047603	TVGs
TraesCS3A01G318300	1949	3	2.106905014	TVGs
TraesCS3A01G320500	1219	3	4.186503149	TVGs
TraesCS3A01G330600	1322	3	1.757673806	TVGs
TraesCS3A01G349900	1969	3	1.914196919	TVGs
TraesCS3A01G351600	947	3	2.231421501	TVGs
TraesCS3A01G360500	688	3	1.819405614	TVGs
TraesCS3A01G362500	1640	3	1.577806735	TVGs
TraesCS3A01G366100	948	3	1.226401113	TVGs
TraesCS3A01G417700	39	3	1.295622823	TVGs
TraesCS3A01G439800	853	3	1.371415327	TVGs
TraesCS3A01G460300	726	3	1.602553548	TVGs
TraesCS3A01G494400	61	3	1.459754029	TVGs
TraesCS3B01G036800	1037	3	4.860044678	TVGs
TraesCS3B01G048700	439	3	1.480976856	TVGs
TraesCS3B01G108000	259	3	1.765793988	TVGs
TraesCS3B01G161900	1077	3	1.081180109	TVGs
TraesCS3B01G176500	449	3	3.594751153	TVGs
TraesCS3B01G203800	187	3	3.254804445	TVGs
TraesCS3B01G210300	1297	3	1.444238221	TVGs
TraesCS3B01G218800	134	3	1.831753225	TVGs
TraesCS3B01G230100	1324	3	1.314854698	TVGs
TraesCS3B01G254700	506	3	2.478827952	TVGs
TraesCS3B01G322200	253	3	2.247590712	TVGs
TraesCS3B01G323600	1907	3	2.012247295	TVGs
TraesCS3B01G333100	574	3	1.615814036	TVGs
TraesCS3B01G365000	655	3	1.208601654	TVGs
TraesCS3B01G370300	1500	3	2.936470228	TVGs
TraesCS3B01G382500	1944	3	1.200508598	TVGs
TraesCS3B01G402200	117	3	2.444416641	TVGs
TraesCS3B01G406100	1931	3	3.51861619	TVGs
TraesCS3B01G413200	1230	3	1.545480215	TVGs
TraesCS3B01G416200	1736	3	1.730308265	TVGs
TraesCS3B01G458800	471	3	1.311859064	TVGs
TraesCS3B01G472800	1885	3	1.52911617	TVGs
TraesCS3B01G473800	912	3	1.086159655	TVGs
TraesCS3B01G474500	157	3	1.554689788	TVGs
TraesCS3B01G492900	629	3	2.12851178	TVGs
TraesCS3B01G592800	287	3	1.343018026	TVGs
TraesCS3B01G597700	655	3	7.261615998	TVGs
TraesCS3D01G040800	1754	3	2.290320538	TVGs
TraesCS3D01G045500	751	3	16.27858754	TVGs
TraesCS3D01G055400	1833	3	4.336892057	TVGs
TraesCS3D01G078700	1081	3	1.215331859	TVGs
TraesCS3D01G092900	261	3	3.455205179	TVGs
TraesCS3D01G094200	1856	3	2.131394459	TVGs
TraesCS3D01G135400	903	3	1.462730887	TVGs
TraesCS3D01G142200	456	3	1.892744134	TVGs
TraesCS3D01G156500	354	3	1.236894708	TVGs
TraesCS3D01G157300	449	3	8.470381075	TVGs
TraesCS3D01G179300	191	3	1.755978692	TVGs
TraesCS3D01G220000	1490	3	1.846069425	TVGs
TraesCS3D01G248200	1251	3	1.998452898	TVGs
TraesCS3D01G271800	855	3	1.651233348	TVGs
TraesCS3D01G281100	1933	3	1.378228632	TVGs
TraesCS3D01G287000	1708	3	2.893732475	TVGs
TraesCS3D01G318600	1837	3	1.572291901	TVGs
TraesCS3D01G360900	1927	3	2.207660141	TVGs
TraesCS3D01G377100	1595	3	1.697678672	TVGs
TraesCS3D01G384100	685	3	2.321672458	TVGs
TraesCS3D01G419700	132	3	5.403233274	TVGs
TraesCS3D01G478000	632	3	4.614287119	TVGs
TraesCS3D01G492600	437	3	1.23375274	TVGs
TraesCS3D01G497900	821	3	1.346950053	TVGs
