gene	position	subunit	MFH	type
TraesCS1B01G236600	1972	4	1.346393668	TGGs
TraesCS2D01G193100	337	4	1.987576743	TGGs
TraesCS3D01G048000	1756	4	2.367975274	TGGs
TraesCS3D01G178700	1717	4	1.205465494	TGGs
TraesCS5D01G052000	185	4	1.141352658	TGGs
TraesCS6A01G238300	340	4	1.293150652	TGGs
TraesCS3A01G365700	720	4	2.655285294	TGGs
TraesCS3B01G047900	1314	4	2.712751611	TGGs
TraesCS4A01G060900	166	4	1.527286762	TGGs
TraesCS4D01G059000	135	4	4.619661137	TGGs
TraesCS6B01G258200	941	4	2.960632905	TGGs
TraesCS1A01G133100	290	5	4.48827251	TGGs
TraesCS4D01G222300	1770	5	1.107794523	TGGs
TraesCS5B01G390500	12	5	2.180147333	TGGs
TraesCS7A01G334300	987	6	2.442542962	TGGs
TraesCS1A01G096000	1787	3	1.129920318	TGGs
TraesCS1A01G133900	1165	3	1.509042425	TGGs
TraesCS1A01G175200	371	3	1.280894197	TGGs
TraesCS1A01G207900	1563	3	3.238091904	TGGs
TraesCS1A01G286900	1883	3	1.271169795	TGGs
TraesCS1A01G418700	521	3	1.224971544	TGGs
TraesCS1A01G431600	1819	3	2.783895006	TGGs
TraesCS1B01G174600	1134	3	1.03808531	TGGs
TraesCS1B01G219200	1605	3	1.450734302	TGGs
TraesCS1B01G352000	1884	3	1.172671206	TGGs
TraesCS1B01G360300	1703	3	1.587328877	TGGs
TraesCS1B01G436500	1314	3	2.577691928	TGGs
TraesCS1B01G441400	903	3	2.203958507	TGGs
TraesCS1D01G050000	1752	3	1.86294423	TGGs
TraesCS1D01G101900	432	3	3.970360613	TGGs
TraesCS1D01G140400	1397	3	2.166444688	TGGs
TraesCS1D01G155900	1213	3	1.427866249	TGGs
TraesCS1D01G161900	1278	3	1.999916428	TGGs
TraesCS1D01G194700	1292	3	2.922837983	TGGs
TraesCS1D01G208900	1206	3	1.24279848	TGGs
TraesCS1D01G340900	1957	3	1.836381962	TGGs
TraesCS1D01G416000	1346	3	1.000827568	TGGs
TraesCS2A01G162600	735	3	2.970851255	TGGs
TraesCS2A01G220600	1480	3	1.46658622	TGGs
TraesCS2A01G317800	1306	3	2.293758698	TGGs
TraesCS2A01G353100	574	3	3.662807432	TGGs
TraesCS2A01G501300	1715	3	1.626616987	TGGs
TraesCS2A01G522700	1243	3	1.308302328	TGGs
TraesCS2A01G523700	1683	3	1.934950551	TGGs
TraesCS2B01G253100	1684	3	1.165788834	TGGs
TraesCS2B01G300100	809	3	1.002399438	TGGs
TraesCS2B01G343900	1215	3	1.00678085	TGGs
TraesCS2B01G473600	492	3	1.170449028	TGGs
TraesCS2D01G169600	551	3	1.484846312	TGGs
TraesCS2D01G248300	611	3	1.509708798	TGGs
TraesCS2D01G321500	303	3	1.718486644	TGGs
TraesCS2D01G324900	945	3	1.506454472	TGGs
TraesCS2D01G493700	1841	3	1.690757824	TGGs
TraesCS3A01G022700	1809	3	1.308794011	TGGs
TraesCS3A01G104300	312	3	1.613038978	TGGs
TraesCS3A01G191900	1662	3	1.6097229	TGGs
TraesCS3A01G258800	1425	3	1.326762056	TGGs
TraesCS3A01G382700	67	3	1.562972651	TGGs
TraesCS3A01G383700	1316	3	2.188490277	TGGs
TraesCS3A01G414400	1106	3	2.220581086	TGGs
TraesCS3A01G480400	1602	3	4.418242008	TGGs
TraesCS3B01G131400	1672	3	1.354720553	TGGs
TraesCS3B01G253400	1401	3	1.137444354	TGGs
TraesCS3B01G275600	1279	3	1.601618788	TGGs
TraesCS3B01G397400	1522	3	2.139749319	TGGs
TraesCS3B01G414900	278	3	1.480612768	TGGs
TraesCS3B01G423300	1098	3	3.686007882	TGGs
TraesCS3D01G133900	294	3	2.591128585	TGGs
TraesCS3D01G170300	1227	3	2.261498738	TGGs
TraesCS3D01G173800	1766	3	1.574121666	TGGs
TraesCS3D01G228600	1860	3	1.201660793	TGGs
TraesCS3D01G235000	1609	3	2.034575528	TGGs
TraesCS3D01G246700	1018	3	1.973416183	TGGs
TraesCS3D01G279700	1741	3	2.802523795	TGGs
TraesCS3D01G345800	1849	3	1.834026049	TGGs
TraesCS3D01G381400	425	3	1.27591292	TGGs
TraesCS3D01G535600	1549	3	1.575597426	TGGs
TraesCS4A01G051900	611	3	1.099724925	TGGs
TraesCS4A01G184100	1459	3	1.022384203	TGGs
TraesCS4A01G193500	1418	3	2.166863568	TGGs
TraesCS4A01G228900	1942	3	2.611979857	TGGs
TraesCS4A01G253300	1948	3	1.502400336	TGGs
TraesCS4A01G269800	1469	3	1.328741579	TGGs
TraesCS4A01G401800	1404	3	1.829732547	TGGs
TraesCS4B01G129000	602	3	1.305749955	TGGs
TraesCS4B01G194000	1033	3	2.983676016	TGGs
TraesCS4B01G201600	453	3	1.265312469	TGGs
TraesCS4B01G255900	1063	3	1.984170831	TGGs
TraesCS4B01G288100	1144	3	1.675489556	TGGs
TraesCS4B01G298900	1670	3	1.441934009	TGGs
TraesCS4B01G301900	1379	3	1.714831214	TGGs
TraesCS4B01G347400	1162	3	1.263454191	TGGs
TraesCS4D01G041100	769	3	1.048333794	TGGs
TraesCS4D01G151900	584	3	1.518967062	TGGs
TraesCS4D01G267500	1539	3	3.427955498	TGGs
TraesCS5A01G175200	1678	3	2.307683147	TGGs
TraesCS5A01G184700	1049	3	2.045888267	TGGs
TraesCS5A01G337000	899	3	2.327212535	TGGs
TraesCS5A01G363600	234	3	1.261076944	TGGs
TraesCS5A01G386900	930	3	2.252257911	TGGs
TraesCS5A01G398800	1502	3	2.472868842	TGGs
TraesCS5A01G488500	960	3	1.545362732	TGGs
TraesCS5A01G509200	1087	3	1.863489757	TGGs
TraesCS5A01G510200	1555	3	1.029835483	TGGs
TraesCS5B01G066900	1914	3	1.282950394	TGGs
TraesCS5B01G118500	1796	3	2.334535218	TGGs
TraesCS5B01G334100	1144	3	1.540410166	TGGs
TraesCS5B01G391800	541	3	3.119363729	TGGs
TraesCS5B01G519900	397	3	2.476309468	TGGs
TraesCS5B01G531900	1871	3	1.376640239	TGGs
TraesCS5D01G038600	713	3	1.027915597	TGGs
TraesCS5D01G039100	1537	3	1.417732576	TGGs
TraesCS5D01G084200	1884	3	1.84514574	TGGs
TraesCS5D01G118900	1838	3	1.568426169	TGGs
TraesCS5D01G153600	725	3	1.752255221	TGGs
TraesCS5D01G340400	1234	3	2.569028061	TGGs
TraesCS5D01G396700	703	3	1.38063963	TGGs
TraesCS5D01G413700	828	3	1.935613462	TGGs
TraesCS5D01G414600	1702	3	1.288468031	TGGs
TraesCS5D01G494900	1046	3	2.544895457	TGGs
TraesCS5D01G504600	220	3	1.415887476	TGGs
TraesCS5D01G515300	774	3	2.944300116	TGGs
TraesCS6A01G005300	245	3	3.249235652	TGGs
TraesCS6A01G059300	1492	3	1.868785049	TGGs
TraesCS6A01G094600	808	3	3.605708292	TGGs
TraesCS6A01G107900	250	3	2.337947116	TGGs
TraesCS6A01G153600	1038	3	2.147109281	TGGs
TraesCS6A01G184100	316	3	1.187289366	TGGs
TraesCS6A01G231000	1700	3	1.039524385	TGGs
TraesCS6A01G232300	1382	3	1.05696807	TGGs
TraesCS6A01G235100	970	3	1.582750505	TGGs
TraesCS6A01G254100	1639	3	2.103456153	TGGs
TraesCS6B01G031500	877	3	3.36711923	TGGs
TraesCS6B01G045100	1353	3	3.027885765	TGGs
TraesCS6B01G164600	405	3	2.181086383	TGGs
TraesCS6B01G210600	25	3	7.127781851	TGGs
TraesCS6B01G340400	953	3	4.326507478	TGGs
TraesCS6D01G007100	1640	3	1.736970792	TGGs
TraesCS6D01G125600	1044	3	2.330797339	TGGs
TraesCS6D01G136600	1146	3	1.40026596	TGGs
TraesCS6D01G169100	68	3	12.88238964	TGGs
TraesCS6D01G217800	660	3	3.22987061	TGGs
TraesCS6D01G238500	1248	3	4.636287002	TGGs
TraesCS6D01G275700	221	3	1.145200563	TGGs
TraesCS6D01G341500	1545	3	1.665380496	TGGs
TraesCS7A01G017200	318	3	1.698935281	TGGs
TraesCS7A01G168500	704	3	2.561611217	TGGs
TraesCS7A01G206400	1433	3	2.477992508	TGGs
