gene	position	subunit	MFH	normalized_MFH	type
TraesCS1A01G025500	1028	S3	2.252132844	-0.066433173	TVGs
TraesCS1A01G060500	1446	S3	2.375290679	0.003281486	TVGs
TraesCS1A01G090000	639	S3	1.185078748	-0.670449246	TVGs
TraesCS1A01G138200	46	S3	1.760400899	-0.344782696	TVGs
TraesCS1A01G155500	314	S3	1.244191517	-0.636987903	TVGs
TraesCS1A01G166600	233	S3	1.49502629	-0.495000505	TVGs
TraesCS1A01G168600	1045	S3	3.741677251	0.77673754	TVGs
TraesCS1A01G188700	1197	S3	1.658703373	-0.402349543	TVGs
TraesCS1A01G214200	976	S3	3.352424865	0.556397542	TVGs
TraesCS1A01G238800	1548	S3	3.162579401	0.44893372	TVGs
TraesCS1A01G259700	1255	S3	1.215646423	-0.653146124	TVGs
TraesCS1A01G271800	1881	S3	7.586082481	2.952899516	TVGs
TraesCS1A01G278200	285	S3	2.474859917	0.059643595	TVGs
TraesCS1A01G328100	1639	S3	1.057480277	-0.742677568	TVGs
TraesCS1A01G350600	744	S3	1.250287388	-0.633537278	TVGs
TraesCS1A01G362100	1752	S3	1.199894857	-0.662062447	TVGs
TraesCS1A01G371900	426	S3	1.75860415	-0.345799762	TVGs
TraesCS1B01G001800	911	S3	1.367093922	-0.567417833	TVGs
TraesCS1B01G024800	1644	S3	1.478477235	-0.504368255	TVGs
TraesCS1B01G037100	1742	S3	1.271534658	-0.62151006	TVGs
TraesCS1B01G050200	1317	S3	1.023121398	-0.762126737	TVGs
TraesCS1B01G071800	1324	S3	1.187118867	-0.669294417	TVGs
TraesCS1B01G074100	1770	S3	3.0880347	0.406736986	TVGs
TraesCS1B01G115900	1596	S3	2.437967622	0.038760362	TVGs
TraesCS1B01G117800	1252	S3	1.670348196	-0.395757881	TVGs
TraesCS1B01G118400	162	S3	1.009064342	-0.770083867	TVGs
TraesCS1B01G265600	1799	S3	1.051680385	-0.745960652	TVGs
TraesCS1B01G288600	1682	S3	1.480130943	-0.503432158	TVGs
TraesCS1B01G292200	683	S3	2.583431188	0.121101391	TVGs
TraesCS1B01G301500	760	S3	1.040300826	-0.752402159	TVGs
TraesCS1B01G469500	817	S3	1.582459339	-0.4455082	TVGs
TraesCS1D01G122400	144	S3	4.001474781	0.923798392	TVGs
TraesCS1D01G147100	597	S3	4.310128437	1.098514716	TVGs
TraesCS1D01G174100	210	S3	2.907350772	0.304459138	TVGs
TraesCS1D01G177800	722	S3	1.872286581	-0.281448746	TVGs
TraesCS1D01G200700	1352	S3	1.441886904	-0.525080558	TVGs
TraesCS1D01G239100	610	S3	1.083083189	-0.728184798	TVGs
TraesCS1D01G259300	201	S3	2.624149733	0.144150509	TVGs
TraesCS1D01G262300	641	S3	1.423284635	-0.535610548	TVGs
TraesCS1D01G273800	684	S3	2.668342024	0.169165974	TVGs
TraesCS1D01G304700	1140	S3	2.927154686	0.315669331	TVGs
TraesCS1D01G323300	1700	S3	2.407151215	0.021316444	TVGs
TraesCS1D01G335800	795	S3	1.286792988	-0.612872937	TVGs
TraesCS1D01G378600	1420	S3	2.433491796	0.036226779	TVGs
TraesCS1D01G381500	73	S3	1.486023031	-0.500096885	TVGs
TraesCS1D01G402000	1716	S3	2.249239851	-0.068070779	TVGs
TraesCS2A01G063500	106	S3	1.485718838	-0.500269077	TVGs
TraesCS2A01G065700	370	S3	1.713319431	-0.371433606	TVGs
TraesCS2A01G112600	713	S3	1.676266355	-0.392407851	TVGs
TraesCS2A01G140100	1162	S3	1.000238828	-0.775079633	TVGs
TraesCS2A01G162100	526	S3	5.741760671	1.908903695	TVGs
TraesCS2A01G199500	580	S3	1.260085632	-0.627990889	TVGs
TraesCS2A01G207500	1789	S3	1.490071292	-0.497805329	TVGs
TraesCS2A01G248600	599	S3	2.303602112	-0.037298507	TVGs
TraesCS2A01G263800	481	S3	2.814451052	0.251872372	TVGs
TraesCS2A01G271800	1506	S3	2.730192553	0.204177051	TVGs
TraesCS2A01G277100	199	S3	7.261200483	2.768996986	TVGs
TraesCS2A01G285300	1183	S3	2.417150856	0.026976835	TVGs
TraesCS2A01G292900	1059	S3	1.369933403	-0.565810518	TVGs
