gene	position	subunit	MFH	type
TraesCS7A01G052000	1544	4	3.809328887	TGGs
TraesCS4D01G059000	135	4	3.840041727	TGGs
TraesCS5B01G538300	379	4	1.598650549	TGGs
TraesCS6B01G258200	941	4	3.114011994	TGGs
TraesCS1A01G133100	290	5	2.628355434	TGGs
TraesCS7A01G334300	987	6	2.686847446	TGGs
TraesCS1A01G180700	671	3	3.315305091	TGGs
TraesCS1A01G346500	1127	3	1.833255106	TGGs
TraesCS1A01G366600	1657	3	2.750591476	TGGs
TraesCS1B01G034400	1459	3	3.05466084	TGGs
TraesCS1D01G063500	1832	3	3.685103782	TGGs
TraesCS1D01G194700	1292	3	2.515810756	TGGs
TraesCS1D01G270300	1590	3	3.45537192	TGGs
TraesCS1D01G374100	1961	3	1.432689303	TGGs
TraesCS1D01G416000	1346	3	3.206518475	TGGs
TraesCS2B01G174400	1273	3	1.430728494	TGGs
TraesCS3A01G104300	312	3	1.844609835	TGGs
TraesCS3A01G308600	274	3	2.624489662	TGGs
TraesCS3B01G344200	1707	3	1.453906291	TGGs
TraesCS3B01G584700	1967	3	2.403020138	TGGs
TraesCS3D01G531900	1821	3	2.702733811	TGGs
TraesCS4D01G114600	363	3	1.830234786	TGGs
TraesCS5A01G488500	960	3	2.341507045	TGGs
TraesCS5D01G039100	1537	3	1.3423263	TGGs
TraesCS5D01G110700	1577	3	3.992251174	TGGs
TraesCS5D01G201100	712	3	1.217552045	TGGs
TraesCS5D01G266700	623	3	3.036329768	TGGs
TraesCS5D01G413700	828	3	1.841409392	TGGs
TraesCS5D01G474800	1706	3	1.918353145	TGGs
TraesCS6A01G198400	197	3	1.916851497	TGGs
TraesCS6B01G121300	876	3	1.781346029	TGGs
TraesCS6B01G210600	25	3	3.440621228	TGGs
TraesCS6D01G169100	68	3	3.105748604	TGGs
TraesCS7A01G416000	1973	3	2.755821662	TGGs
TraesCS7A01G544500	1079	3	1.998312798	TGGs
TraesCS7B01G031800	1245	3	1.6971982	TGGs
TraesCS7B01G272500	1579	3	1.801030747	TGGs
TraesCS7B01G471400	1454	3	1.503851369	TGGs
TraesCSU01G086800	1273	3	4.920141377	TGGs
TraesCS1A01G042700	1227	3	2.181045502	TGGs
TraesCS1A01G359100	71	3	2.275810431	TGGs
TraesCS1B01G237500	659	3	3.9903966	TGGs
TraesCS1B01G441000	197	3	2.211268586	TGGs
TraesCS1B01G451100	661	3	1.387181107	TGGs
TraesCS1D01G027800	390	3	1.548929982	TGGs
TraesCS2A01G089400	396	3	2.296492394	TGGs
TraesCS2A01G177300	1291	3	1.749907314	TGGs
TraesCS2B01G272900	1796	3	6.636936732	TGGs
TraesCS2D01G248800	771	3	1.569800621	TGGs
TraesCS3A01G451700	1161	3	3.499933985	TGGs
TraesCS3A01G506000	733	3	1.888229383	TGGs
TraesCS3B01G042000	975	3	2.216114113	TGGs
TraesCS3D01G045800	1020	3	4.290062764	TGGs
TraesCS3D01G115400	74	3	3.421900139	TGGs
TraesCS3D01G514000	933	3	2.093394999	TGGs
TraesCS4A01G203500	1194	3	2.340073011	TGGs
TraesCS4A01G319700	962	3	1.610427464	TGGs
TraesCS4B01G393400	1058	3	2.012429092	TGGs
TraesCS5A01G093300	1314	3	1.840719797	TGGs
TraesCS5A01G460600	1639	3	1.709874033	TGGs
TraesCS5A01G496600	1830	3	1.893048017	TGGs
TraesCS5D01G504200	1672	3	2.41479212	TGGs
TraesCS6A01G211000	227	3	1.579184995	TGGs
TraesCS6A01G249400	405	3	1.376498933	TGGs
TraesCS6B01G432200	1473	3	1.53576671	TGGs
TraesCS6D01G042500	1445	3	1.310619635	TGGs
TraesCS6D01G062100	388	3	2.575240415	TGGs
TraesCS6D01G106800	1689	3	1.682845957	TGGs
TraesCS7A01G222500	954	3	2.34102347	TGGs
TraesCS7A01G338800	1756	3	1.745441824	TGGs
TraesCS7B01G031000	1100	3	1.531813844	TGGs
TraesCS7B01G188000	1122	3	1.514675172	TGGs
TraesCS7D01G234400	1107	3	1.636742196	TGGs
TraesCS7D01G295400	1122	3	1.548469313	TGGs
TraesCS7D01G389700	1601	3	1.660149575	TGGs
