gene	pos	subunit	response
TraesCS1A01G004100	1308	3	0
TraesCS1A01G005600	611	3	0
TraesCS1A01G006000	879	3	0
TraesCS1A01G006300	812	3	0
TraesCS1A01G007000	681	3	0
TraesCS1A01G007300	469	3	0
TraesCS1A01G010600	1966	3	0
TraesCS1A01G011400	273	3	0
TraesCS1A01G012200	134	3	0
TraesCS1A01G012600	1032	3	0
TraesCS1A01G014000	980	3	0
TraesCS1A01G015700	1617	3	0
TraesCS1A01G018800	1506	3	0
TraesCS1A01G019200	540	3	0
TraesCS1A01G025300	1053	3	0
TraesCS1A01G025500	1028	3	1
TraesCS1A01G026300	1174	3	0
TraesCS1A01G028900	1791	3	0
TraesCS1A01G030200	1645	3	0
TraesCS1A01G033100	1758	3	0
TraesCS1A01G033300	519	3	0
TraesCS1A01G033800	588	3	0
TraesCS1A01G035000	1180	3	0
TraesCS1A01G035200	1722	3	0
TraesCS1A01G036000	1501	3	0
TraesCS1A01G037700	1818	3	0
TraesCS1A01G039300	1423	3	0
TraesCS1A01G044700	222	3	0
TraesCS1A01G045500	263	3	0
TraesCS1A01G046900	706	3	0
TraesCS1A01G047700	181	3	0
TraesCS1A01G049200	594	3	0
TraesCS1A01G049500	1859	3	0
TraesCS1A01G050300	1672	3	0
TraesCS1A01G051200	499	3	0
TraesCS1A01G052900	971	3	0
TraesCS1A01G053500	90	3	0
TraesCS1A01G055600	143	3	0
TraesCS1A01G057500	287	3	0
TraesCS1A01G057900	1344	3	0
TraesCS1A01G058600	725	3	0
TraesCS1A01G058800	785	3	0
TraesCS1A01G060300	262	3	0
TraesCS1A01G060500	1446	3	1
TraesCS1A01G061100	444	3	0
TraesCS1A01G063000	78	3	0
TraesCS1A01G064300	122	3	0
TraesCS1A01G064500	104	3	0
TraesCS1A01G065300	774	3	0
TraesCS1A01G066700	358	3	0
TraesCS1A01G066800	747	3	0
TraesCS1A01G069600	392	3	0
TraesCS1A01G070700	1671	3	0
TraesCS1A01G072500	397	3	0
TraesCS1A01G073300	1057	3	0
TraesCS1A01G073400	1141	3	0
TraesCS1A01G076200	433	3	0
TraesCS1A01G076700	1794	3	0
TraesCS1A01G077000	1394	3	0
TraesCS1A01G077100	757	3	0
TraesCS1A01G078100	1238	3	0
TraesCS1A01G081000	904	3	0
TraesCS1A01G081300	1526	3	0
TraesCS1A01G082100	1277	3	0
TraesCS1A01G083200	1619	3	0
TraesCS1A01G084500	131	3	0
TraesCS1A01G086900	1492	3	0
TraesCS1A01G087900	1673	3	0
TraesCS1A01G088500	76	3	0
TraesCS1A01G090000	639	3	1
TraesCS1A01G095200	1285	3	0
TraesCS1A01G097900	369	3	0
TraesCS1A01G099800	1864	3	0
TraesCS1A01G099900	1639	3	0
TraesCS1A01G105300	882	3	0
TraesCS1A01G108500	792	3	0
TraesCS1A01G108600	1073	3	0
TraesCS1A01G109500	401	3	0
TraesCS1A01G109700	1443	3	0
TraesCS1A01G109900	1495	3	0
TraesCS1A01G110200	309	3	0
TraesCS1A01G113900	1556	3	0
TraesCS1A01G114500	1386	3	0
TraesCS1A01G115000	512	3	0
TraesCS1A01G117800	1618	3	0
TraesCS1A01G118200	1101	3	0
TraesCS1A01G120400	1328	3	0
TraesCS1A01G121200	999	3	0
TraesCS1A01G125000	874	3	0
TraesCS1A01G125600	1838	3	0
TraesCS1A01G126000	831	3	0
TraesCS1A01G127100	776	3	0
TraesCS1A01G127200	1652	3	0
TraesCS1A01G128700	959	3	0
TraesCS1A01G129500	446	3	0
TraesCS1A01G130100	1576	3	0
TraesCS1A01G130500	130	3	0
TraesCS1A01G132900	1298	3	0
TraesCS1A01G135000	1171	3	0
TraesCS1A01G137600	1100	3	0
TraesCS1A01G138200	46	3	1
TraesCS1A01G139400	1740	3	0
TraesCS1A01G139900	1439	3	0
TraesCS1A01G140900	1346	3	0
TraesCS1A01G141600	1347	3	0
TraesCS1A01G141700	1073	3	0
TraesCS1A01G144900	172	3	0
TraesCS1A01G145600	256	3	0
TraesCS1A01G148300	686	3	0
TraesCS1A01G148900	7	3	0
TraesCS1A01G150700	1089	3	0
TraesCS1A01G151700	162	3	0
TraesCS1A01G151800	683	3	0
TraesCS1A01G151900	1355	3	0
TraesCS1A01G153400	759	3	0
TraesCS1A01G154700	1874	3	0
TraesCS1A01G155400	225	3	0
TraesCS1A01G155500	314	3	1
TraesCS1A01G155800	1941	3	0
TraesCS1A01G157700	843	3	0
TraesCS1A01G162500	6	3	0
TraesCS1A01G164900	1278	3	0
TraesCS1A01G166600	233	3	1
TraesCS1A01G168600	1045	3	1
TraesCS1A01G169800	789	3	0
TraesCS1A01G173200	511	3	0
TraesCS1A01G175100	1863	3	0
TraesCS1A01G176200	409	3	0
TraesCS1A01G176300	879	3	0
TraesCS1A01G176600	1978	3	0
TraesCS1A01G177900	568	3	0
TraesCS1A01G178000	914	3	0
TraesCS1A01G178800	1365	3	0
TraesCS1A01G180000	846	3	0
TraesCS1A01G181000	1305	3	0
TraesCS1A01G181300	1044	3	0
TraesCS1A01G183800	1791	3	0
TraesCS1A01G184000	1105	3	0
TraesCS1A01G184600	1855	3	0
TraesCS1A01G184900	307	3	0
TraesCS1A01G185600	713	3	0
TraesCS1A01G187500	1824	3	0
TraesCS1A01G188700	1197	3	1
TraesCS1A01G189400	443	3	0
TraesCS1A01G190000	807	3	0
TraesCS1A01G190600	591	3	0
TraesCS1A01G191000	269	3	0
TraesCS1A01G191300	1530	3	0
